# time,x(N),y(E),z(D),psi
0.000000000000000000e+00,-8.371297382082819979e-17,5.897888743908149558e-16,-2.000000000000000000e+00,-2.243001691290260160e-15
3.839481112591430073e-02,-1.782725330099800106e-16,1.198822300252480063e-15,-2.000000000000000000e+00,-4.491147190557260151e-15
7.678962225182860146e-02,-2.330743328531520146e-05,-2.357489598396560120e-05,-1.999559725551439904e+00,1.284550357911520054e-03
1.151844333777430063e-01,-2.489907954024239787e-04,-2.502015294600769897e-04,-1.996986612194850075e+00,3.031709206770360002e-03
1.535792445036570086e-01,-9.932314758926939768e-04,-9.982834989497120417e-04,-1.991006218700829944e+00,4.033782380322620265e-03
1.919740556295720102e-01,-2.588174335872479945e-03,-2.603685111865110171e-03,-1.981571381304199964e+00,4.221979653106579938e-03
2.303688667554860126e-01,-5.364012182335869960e-03,-5.402267325127350049e-03,-1.968614764658400018e+00,3.549679102195669924e-03
2.687636778813999872e-01,-9.648353943323029203e-03,-9.729302425342690325e-03,-1.952048961865679999e+00,1.982234743731940002e-03
3.071584890073140173e-01,-1.810735144622300022e-02,-1.830164332276760022e-02,-1.944789977974749950e+00,-8.882619710421700218e-03
3.455533001332289911e-01,-3.392445875389470122e-02,-3.436437191944929914e-02,-1.959555910186890015e+00,-3.285889569912520125e-02
3.839481112591430212e-01,-5.817470664770180155e-02,-5.899963737098509742e-02,-1.995796356644959912e+00,-6.500015772568659700e-02
4.223429223850569958e-01,-9.102777614329249367e-02,-9.235519624941690431e-02,-2.049811430232749920e+00,-9.917650326897629875e-02
4.607377335109720251e-01,-1.298266976063419953e-01,-1.316918967339389956e-01,-2.109726014618050094e+00,-1.303792581883140012e-01
4.991325446368859997e-01,-1.724996853301460076e-01,-1.745910416577909907e-01,-2.167178081773430076e+00,-1.562730522435269997e-01
5.375273557627999743e-01,-2.195188964583139890e-01,-2.208243337115569915e-01,-2.222461608700720070e+00,-1.774815977640220033e-01
5.759221668887150036e-01,-2.713243859206619923e-01,-2.700105197934780099e-01,-2.275797580432779910e+00,-1.945503513412630003e-01
6.143169780146290337e-01,-3.283857954274649882e-01,-3.217963541309579734e-01,-2.327677631156510163e+00,-2.002354266422959883e-01
6.527117891405429528e-01,-3.909901062070300082e-01,-3.759307195938830226e-01,-2.379129342387139801e+00,-1.982921878107030134e-01
6.911066002664579822e-01,-4.590087434622490137e-01,-4.321592564462409802e-01,-2.431183113498020187e+00,-1.967594115183100012e-01
7.295014113923720123e-01,-5.321035840199590528e-01,-4.901632293342069735e-01,-2.484606222251839913e+00,-1.966469472419209996e-01
7.678962225182860424e-01,-6.096400707675819763e-01,-5.495281344540899893e-01,-2.539230835447409795e+00,-1.974797643293320082e-01
8.062910336441999615e-01,-6.904273620000159761e-01,-6.097285121474219638e-01,-2.592422979762909918e+00,-1.974826140715970069e-01
8.446858447701149908e-01,-7.735445226486089565e-01,-6.703642877576150294e-01,-2.642103590743059893e+00,-1.961639218061120016e-01
8.830806558960290209e-01,-8.586103270303989676e-01,-7.311725142032839964e-01,-2.688341568598020093e+00,-1.944165706895940038e-01
9.214754670219430510e-01,-9.452434066056639717e-01,-7.919070123785150184e-01,-2.731188135735279854e+00,-1.937185223769480047e-01
9.598702781478579693e-01,-1.033082123719669898e+00,-8.524369415194800181e-01,-2.770673683251029917e+00,-1.943606260338980041e-01
9.982650892737719994e-01,-1.121798136012480018e+00,-9.128084373291019959e-01,-2.806820502726909972e+00,-1.948683270288260050e-01
1.036659900399689915e+00,-1.211067688181310054e+00,-9.730974169975840082e-01,-2.839641006533809797e+00,-1.952720832144529961e-01
1.075054711525599949e+00,-1.300570878460560076e+00,-1.033364506295129992e+00,-2.868382849292660186e+00,-1.955625787370859903e-01
1.113449522651509982e+00,-1.390024219047649945e+00,-1.093668314618019943e+00,-2.893445217729570196e+00,-1.961552008160420135e-01
1.151844333777430007e+00,-1.479144200644120000e+00,-1.154081054840379927e+00,-2.915569303031400050e+00,-1.962854205688709941e-01
1.190239144903340041e+00,-1.567618919239109898e+00,-1.214672217107169994e+00,-2.934322748165310024e+00,-1.964582013168769958e-01
1.228633956029260066e+00,-1.655114824326280099e+00,-1.275477896368069963e+00,-2.949669981259369855e+00,-1.967817396444239975e-01
1.267028767155170099e+00,-1.741304186749879968e+00,-1.336561403442309892e+00,-2.961566070366770109e+00,-1.963401276565389930e-01
1.305423578281089902e+00,-1.825839688479309997e+00,-1.397882849806479921e+00,-2.969954748612980033e+00,-1.954532519561870130e-01
1.343818389406999936e+00,-1.908355366313309931e+00,-1.459298142307760004e+00,-2.974765130391740175e+00,-1.946859569012150126e-01
1.382213200532909969e+00,-1.988477257341370041e+00,-1.520605807907180029e+00,-2.975908894457750087e+00,-1.943761388887599861e-01
1.420608011658829994e+00,-2.065833959453990065e+00,-1.581594843617289969e+00,-2.973279242964620206e+00,-1.959321762644420095e-01
1.459002822784740028e+00,-2.140079059805910067e+00,-1.642181057739209971e+00,-2.966767752050460061e+00,-1.994507607627460100e-01
1.497397633910660053e+00,-2.210906330830360034e+00,-1.702499858109449926e+00,-2.956276370355309879e+00,-2.037792024666099933e-01
1.535792445036570086e+00,-2.278033419668199944e+00,-1.762807027967969953e+00,-2.941707148291449858e+00,-2.082391915976530006e-01
1.574187256162489890e+00,-2.341194456173050220e+00,-1.823423101398309987e+00,-2.922953068945440158e+00,-2.124219546693680016e-01
1.612582067288399923e+00,-2.400136562961920017e+00,-1.884703361446600001e+00,-2.899893078607540087e+00,-2.160728780606150090e-01
1.650976878414319948e+00,-2.454618193293769846e+00,-1.947021493513960033e+00,-2.872389738894950195e+00,-2.190252920761160127e-01
1.689371689540229982e+00,-2.499447652687790011e+00,-2.012231125116330066e+00,-2.850361958320120070e+00,-2.291523590486380102e-01
1.727766500666140015e+00,-2.530291200960880005e+00,-2.082238772403360194e+00,-2.841455247238569903e+00,-2.506708133324390131e-01
1.766161311792060040e+00,-2.546396968126139804e+00,-2.157223229309940038e+00,-2.847225020695840048e+00,-2.785630869397630049e-01
1.804556122917970074e+00,-2.547463984338610210e+00,-2.236752814506259845e+00,-2.869920239985809918e+00,-3.100501386873479870e-01
1.842950934043890099e+00,-2.535746575907360079e+00,-2.319682811844539838e+00,-2.906650884326119844e+00,-3.416262270096530052e-01
1.881345745169799910e+00,-2.515307527720440195e+00,-2.404494414953469938e+00,-2.949470659632900116e+00,-3.666587202047389971e-01
1.919740556295719935e+00,-2.489999976719050157e+00,-2.489999980752129805e+00,-2.989999981647490035e+00,-3.819105258319229756e-01
1.963756176169509926e+00,-2.456130443663830043e+00,-2.588227345442979832e+00,-3.031530938621350035e+00,-3.906007992286369968e-01
2.007771796043300139e+00,-2.417334064392819837e+00,-2.686062735802849932e+00,-3.067864598237899809e+00,-3.934478947859300080e-01
2.051787415917090129e+00,-2.373885156226999804e+00,-2.782857870957789803e+00,-3.099041876185200106e+00,-3.925511615521640185e-01
2.095803035790880120e+00,-2.326062756375309792e+00,-2.877960169093459974e+00,-3.125069682890960099e+00,-3.890775653696350034e-01
2.139818655664670111e+00,-2.274152281466970127e+00,-2.970717430393989833e+00,-3.145921075533579803e+00,-3.836808037505000102e-01
2.183834275538460101e+00,-2.218446031152290221e+00,-3.060480834789720106e+00,-3.161535392908950026e+00,-3.767281341516989790e-01
2.227849895412250092e+00,-2.159243724826350075e+00,-3.146607722123840212e+00,-3.171814783200749943e+00,-3.684321535123359914e-01
2.271865515286040083e+00,-2.096850803169230115e+00,-3.228462476452579999e+00,-3.176627898004860118e+00,-3.589073800165519801e-01
2.315881135159830073e+00,-2.031576895994589904e+00,-3.305417019258690026e+00,-3.175813583157140130e+00,-3.482064678267829949e-01
2.359896755033620064e+00,-1.963051104387969925e+00,-3.375125100689210011e+00,-3.173041326097449932e+00,-3.387003497054190126e-01
2.403912374907410054e+00,-1.889623545324089937e+00,-3.430782508574900191e+00,-3.180600051889559854e+00,-3.485486605327879905e-01
2.447927994781200045e+00,-1.810048496446470034e+00,-3.467863771979459830e+00,-3.207085380076000192e+00,-3.822955544911729731e-01
2.491943614654999806e+00,-1.723656774025299931e+00,-3.487183152814949949e+00,-3.253653874944120172e+00,-4.257065201686099920e-01
2.535959234528789796e+00,-1.629984364465909996e+00,-3.491112341496649840e+00,-3.319296252033340000e+00,-4.706987033981659962e-01
2.579974854402579787e+00,-1.531054898433489964e+00,-3.485961933211669805e+00,-3.391305549690620147e+00,-5.084821963361240149e-01
2.623990474276370222e+00,-1.428873020395269977e+00,-3.476536584907250038e+00,-3.458592399514849980e+00,-5.357307282723650088e-01
2.668006094150160212e+00,-1.323371303380429964e+00,-3.463629522448509857e+00,-3.520797988184139804e+00,-5.489901404908360538e-01
2.712021714023950203e+00,-1.214605941607280082e+00,-3.447751336227530050e+00,-3.578050727440219791e+00,-5.498753599764569788e-01
2.756037333897740194e+00,-1.102939031623670019e+00,-3.429239663794460213e+00,-3.630486468953249890e+00,-5.452010692804210024e-01
2.800052953771530184e+00,-9.888932713802469632e-01,-3.408341752607220165e+00,-3.678228682632199931e+00,-5.383395367303640544e-01
2.844068573645320175e+00,-8.730487723561579649e-01,-3.385275189798000017e+00,-3.721381746090500098e+00,-5.345902424184739710e-01
2.888084193519110165e+00,-7.556950677981190134e-01,-3.360029124031270076e+00,-3.762629134482339932e+00,-5.364277216718860153e-01
2.932099813392900156e+00,-6.371073035274560370e-01,-3.333049955425949840e+00,-3.802039213337609969e+00,-5.392319480599669923e-01
2.976115433266690147e+00,-5.176723910991890554e-01,-3.305063604000300082e+00,-3.837040300246960189e+00,-5.405522726941179856e-01
3.020131053140489907e+00,-3.976396755294139829e-01,-3.276503524053619998e+00,-3.867654194337760032e+00,-5.418019790218360221e-01
3.064146673014279898e+00,-2.772004678628410268e-01,-3.247820349163279996e+00,-3.895220903564720061e+00,-5.444628965847529978e-01
3.108162292888069889e+00,-1.564751682712899883e-01,-3.219395129776609910e+00,-3.922094636030870163e+00,-5.496626936333499636e-01
3.152177912761859879e+00,-3.554745708121020281e-02,-3.191260530646430116e+00,-3.945827219680920095e+00,-5.547244555163970414e-01
3.196193532635649870e+00,8.553819618312739903e-02,-3.163284359769490184e+00,-3.962657621760880211e+00,-5.577297827257240437e-01
3.240209152509439861e+00,2.067524340662789950e-01,-3.135407469081830101e+00,-3.972348545933960029e+00,-5.594552035018539593e-01
3.284224772383229851e+00,3.280784924932110269e-01,-3.107597861124919980e+00,-3.974943532413480085e+00,-5.604709203972140230e-01
3.328240392257019842e+00,4.495082159620750195e-01,-3.079829166749409985e+00,-3.970395862732380099e+00,-5.610693045276130553e-01
3.372256012130809832e+00,5.710384585632910515e-01,-3.052081547219239965e+00,-3.958641537520350084e+00,-5.614236158535109711e-01
3.416271632004599823e+00,6.926668101559070312e-01,-3.024342119608220081e+00,-3.939656812050809975e+00,-5.616364187422500098e-01
3.460287251878389814e+00,8.143916846301270107e-01,-2.996602530269110165e+00,-3.913421734043700084e+00,-5.617650349314989855e-01
3.504302871752179804e+00,9.362120145052830189e-01,-2.968856929529250177e+00,-3.879916521537329910e+00,-5.618441954580479791e-01
3.548318491625969795e+00,1.058127119873149891e+00,-2.941101484102449870e+00,-3.839124858763089954e+00,-5.618934093225950166e-01
3.592334111499770000e+00,1.180116407147949964e+00,-2.913331085892099992e+00,-3.791945775278520170e+00,-5.619872939654819710e-01
3.636349731373559990e+00,1.302051888551599923e+00,-2.885489237473839896e+00,-3.740663886648050163e+00,-5.622406666496080341e-01
3.680365351247349981e+00,1.423634612686420109e+00,-2.857391269872879835e+00,-3.685731369473439933e+00,-5.625815993565650430e-01
3.724380971121139972e+00,1.544459610821270035e+00,-2.828791558443290111e+00,-3.626205435658489851e+00,-5.621823824788629853e-01
3.768396590994929962e+00,1.664037639960949999e+00,-2.799522491990789952e+00,-3.562029255054259824e+00,-5.619587782095269990e-01
3.812412210868719953e+00,1.781857505198970015e+00,-2.769453716939319854e+00,-3.493126011280060172e+00,-5.632977363876570109e-01
3.856427830742509943e+00,1.897195382022029975e+00,-2.738111392787189846e+00,-3.421302251174489939e+00,-5.668615380100090473e-01
3.900443450616299934e+00,2.009176246769360130e+00,-2.704645211710300146e+00,-3.349401279019859956e+00,-5.708188384425579853e-01
3.944459070490089925e+00,2.117074710476050114e+00,-2.668516885913939873e+00,-3.278260448199509902e+00,-5.765256331699279979e-01
3.988474690363879915e+00,2.220185301030869862e+00,-2.629401042438470171e+00,-3.207932608289779886e+00,-5.825167069730600167e-01
4.032490310237670350e+00,2.317788797233840015e+00,-2.587127014574449824e+00,-3.138224005494509861e+00,-5.899585588836699923e-01
4.076505930111459897e+00,2.409213153733590129e+00,-2.541602429350449999e+00,-3.068664768611399918e+00,-6.001828641095670047e-01
4.120521549985250331e+00,2.489999977783989848e+00,-2.489999977261780018e+00,-3.009999981581339856e+00,-6.191468098876240500e-01
4.154815962807790086e+00,2.539278559686040104e+00,-2.440887566706570144e+00,-2.987865698929299985e+00,-6.363144595752380228e-01
4.189110375630329841e+00,2.575749340156860079e+00,-2.382336248071720064e+00,-2.988874264812409809e+00,-6.545109392664619774e-01
4.223404788452869596e+00,2.602843519532830108e+00,-2.315773602582409829e+00,-3.006032682887190166e+00,-6.785491353778110302e-01
4.257699201275410239e+00,2.621627894492609911e+00,-2.241001608960949909e+00,-3.039639366593689829e+00,-7.069863420096259565e-01
4.291993614097949994e+00,2.635625693545499804e+00,-2.160812375144990138e+00,-3.079964655420219799e+00,-7.320664927502019692e-01
