# time,x(N),y(E),z(D),psi
2.269645655635729842e+00,-1.197638872216469919e+00,-1.186143835744410069e+00,-2.078501909392839853e+00,-4.317197734973869938e-01
2.338422796715600160e+00,-1.297850212459290109e+00,-1.271649557390319929e+00,-2.099393870414790086e+00,-4.464501143035630171e-01
2.407199937795470035e+00,-1.399699660453040062e+00,-1.357676170914849934e+00,-2.124074047241559793e+00,-4.613407912772419794e-01
2.475977078875339910e+00,-1.502492413647479985e+00,-1.443819173118100041e+00,-2.152781286796900062e+00,-4.764070848120430246e-01
2.544754219955209784e+00,-1.605470856621350029e+00,-1.529682533050789939e+00,-2.185709604472609868e+00,-4.916609583675909945e-01
2.613531361035080103e+00,-1.707817603290259889e+00,-1.614885235131920060e+00,-2.223001202628370088e+00,-5.071109562916890079e-01
2.682308502114949977e+00,-1.808659339537580069e+00,-1.699067743310360035e+00,-2.264740296160180133e+00,-5.227621772068320460e-01
2.751085643194819852e+00,-1.907071188660959926e+00,-1.781898289784620060e+00,-2.310948088256469912e+00,-5.386164732999410010e-01
2.819862784274690171e+00,-2.002080936473709993e+00,-1.863078960975359966e+00,-2.361579484535790030e+00,-5.546732758551889964e-01
2.888639925354560045e+00,-2.092671674016609806e+00,-1.942351633795490029e+00,-2.416522545997179972e+00,-5.709319505195910027e-01
2.957417066434429920e+00,-2.177779916983590081e+00,-2.019503862521479842e+00,-2.475602153806109929e+00,-5.873975831379539825e-01
3.026194207514299794e+00,-2.256283570068819966e+00,-2.094374767581760111e+00,-2.538589404760089874e+00,-6.040941026396690061e-01
3.094971348594170113e+00,-2.326969679180809880e+00,-2.166860805940349799e+00,-2.605216382828679844e+00,-6.210934431941940170e-01
3.163748489674039988e+00,-2.388465463894729801e+00,-2.236921173831249998e+00,-2.675188805973330197e+00,-6.385825564072009630e-01
3.232525630753920076e+00,-2.439108814093850164e+00,-2.304583156871149896e+00,-2.748169137440160004e+00,-6.570296258168539794e-01
3.301302771833789951e+00,-2.476795956933020015e+00,-2.369907199697390165e+00,-2.823666877559639854e+00,-6.665544685393449686e-01
3.370079912913659825e+00,-2.499061330628689959e+00,-2.432658741366520161e+00,-2.900897090264599854e+00,-6.753868722657709878e-01
3.438857053993530144e+00,-2.489999975572140034e+00,-2.489999978191550056e+00,-3.009999874717579793e+00,-7.005119868072949840e-01
3.488245321533680166e+00,-2.463378576688930011e+00,-2.527644877613589802e+00,-3.107226928139939837e+00,-7.182858858846410399e-01
3.537633589073830187e+00,-2.429808208052659957e+00,-2.564113955520869848e+00,-3.197421765781950143e+00,-7.262025477062690193e-01
3.587021856613980209e+00,-2.389399900927549947e+00,-2.599447264621860043e+00,-3.280968257373679808e+00,-7.292365836981189453e-01
3.636410124154140000e+00,-2.342289845388420222e+00,-2.633616022935730161e+00,-3.358251114526450198e+00,-7.300794965358480271e-01
3.685798391694290022e+00,-2.288659208071280204e+00,-2.666620870694280221e+00,-3.429634074972930158e+00,-7.300146494598239721e-01
3.735186659234440043e+00,-2.228702175627419901e+00,-2.698439613946800097e+00,-3.495469253760839834e+00,-7.297614994108839737e-01
