# time,x(N),y(E),z(D),psi
0.000000000000000000e+00,-1.832398412721710123e-18,3.380863795814520094e-17,-2.000000000000000000e+00,1.499400225679080041e-16
4.087546251119619778e-02,-3.877228905465389872e-18,6.884591199115870431e-17,-2.000000000000000000e+00,3.002433341256929994e-16
8.175092502239239556e-02,1.665775674199419866e-05,3.748331334707999987e-05,-2.002982924452969993e+00,-1.620927873759999988e-03
1.226263875335889958e-01,2.304526157278779944e-04,4.542581369937229792e-04,-2.011832779479690192e+00,-8.088429227279649372e-03
1.635018500447850132e-01,1.035221604004340048e-03,1.566234579638920094e-03,-2.026327986565299888e+00,-1.861787127462119842e-02
2.043773125559809889e-01,2.689083035424289902e-03,3.491170354291540153e-03,-2.046229291979639875e+00,-3.141687834716060113e-02
2.452527750671769924e-01,5.318927655856180332e-03,6.283861221344489573e-03,-2.071294714304429796e+00,-4.537039701087770133e-02
2.861282375783730236e-01,9.013671755630439306e-03,9.934727370081159262e-03,-2.101284094460690088e+00,-5.986087434302760080e-02
3.270037000895690271e-01,1.381343385530890006e-02,1.443427724538699948e-02,-2.135959195896299789e+00,-7.455632308380820417e-02
3.678791626007659743e-01,1.975500051263700055e-02,1.973876704394859904e-02,-2.175092118258119989e+00,-8.873921910419299564e-02
4.087546251119619778e-01,2.681495348004619972e-02,2.577397234132810036e-02,-2.218472110060799807e+00,-1.023443408819330047e-01
4.496300876231579813e-01,3.492284717116340281e-02,3.242758792582760285e-02,-2.265892017390210178e+00,-1.155723972253410031e-01
4.905055501343539848e-01,4.398115824152840081e-02,3.959075172578419705e-02,-2.317143375888480072e+00,-1.284431659239209933e-01
5.313810126455500438e-01,5.387987636087809840e-02,4.714985289899439880e-02,-2.372016385891650092e+00,-1.410040790962960033e-01
5.722564751567470465e-01,6.449928223005829686e-02,5.500017210898060227e-02,-2.430298857696600034e+00,-1.532653275176009966e-01
6.131319376679430500e-01,7.571679843324549686e-02,6.303950883400870342e-02,-2.491776412823980102e+00,-1.652395565218320039e-01
6.540074001791390534e-01,8.740661384293689495e-02,7.117373850559330362e-02,-2.556232265455019803e+00,-1.769320401299930012e-01
6.948828626903349459e-01,9.944325712776949655e-02,7.931297521070510004e-02,-2.623447418800989972e+00,-1.883458950589849967e-01
7.357583252015309494e-01,1.117009363134089939e-01,8.737403726523490510e-02,-2.693200685988700105e+00,-1.994834163717590092e-01
7.766337877127279521e-01,1.240555032645809935e-01,9.527817456926429562e-02,-2.765268844062779952e+00,-2.103447619561160109e-01
8.175092502239239556e-01,1.363839852943669884e-01,1.029521605684809993e-01,-2.839426718288430074e+00,-2.209305655582990136e-01
8.583847127351199591e-01,1.485656974150779963e-01,1.103269069783300027e-01,-2.915447305356889895e+00,-2.312400046887619909e-01
8.992601752463159626e-01,1.604819668009760114e-01,1.173379010698920033e-01,-2.993101867780609826e+00,-2.412728652984230115e-01
9.401356377575119661e-01,1.720167710144349937e-01,1.239243255494029972e-01,-3.072160037178270020e+00,-2.510279818459900114e-01
9.810111002687079695e-01,1.830565858735969942e-01,1.300291755160629947e-01,-3.152389901917719950e+00,-2.605047661947770266e-01
1.021886562779900087e+00,1.934907474137010086e-01,1.355986763887780111e-01,-3.233558096346239807e+00,-2.697018977095549941e-01
1.062762025291100088e+00,2.032113638206949902e-01,1.405822452321220106e-01,-3.315429875459090070e+00,-2.786187130010470137e-01
1.103637487802300088e+00,2.121135057083740061e-01,1.449320967607400090e-01,-3.397769192456430165e+00,-2.872537444206429980e-01
1.144512950313490096e+00,2.200951411546409886e-01,1.486031326180269896e-01,-3.480338756095319841e+00,-2.956065112840460252e-01
1.185388412824690096e+00,2.270530366427420121e-01,1.515497895063560030e-01,-3.562963423738779944e+00,-3.037152961085369807e-01
1.226263875335890097e+00,2.328785989550430091e-01,1.537234666449439902e-01,-3.645573739913059885e+00,-3.116650472972499752e-01
1.267139337847080105e+00,2.374610112210620017e-01,1.550750633509080101e-01,-3.728141805281310006e+00,-3.195262280907830155e-01
1.308014800358280105e+00,2.406988995515159935e-01,1.555625313744380123e-01,-3.810538386436410185e+00,-3.272800952225309867e-01
