# time,x(N),y(E),z(D),psi
0.000000000000000000e+00,7.160363369999650225e-25,-8.761903307813590848e-25,-2.000000000000000000e+00,2.567412702184520167e-24
5.149554185384819932e-02,1.633593705306869981e-24,-1.721089744342049980e-24,-2.000000000000000000e+00,5.142270946057700346e-24
1.029910837076959962e-01,2.191688836028469909e-05,2.087339293554739950e-05,-2.000245883781810008e+00,-1.796803804000790018e-03
1.544866255615449935e-01,2.461949578165520186e-04,2.321300359641810030e-04,-2.001205181672040201e+00,-7.412153153272279735e-03
2.059821674153929916e-01,9.355122080175320163e-04,8.733008835307180199e-04,-2.003295141726079809e+00,-1.578635352386240087e-02
2.574777092692410174e-01,2.285834732453570061e-03,2.107797067448300213e-03,-2.006888632643539783e+00,-2.567047952665469854e-02
3.089732511230889878e-01,4.490797806453309879e-03,4.082613153951920350e-03,-2.012317905319839895e+00,-3.667354265629940019e-02
3.604687929769370136e-01,7.717238510125869894e-03,6.906149643706300384e-03,-2.019880168581659863e+00,-4.848185483016000108e-02
4.119643348307849839e-01,1.210947730921170008e-02,1.065365716000410065e-02,-2.029841362662089921e+00,-6.095106299183519760e-02
4.634598766846340090e-01,1.778307711193989962e-02,1.536407889149559933e-02,-2.042440275732659849e+00,-7.397334014595149942e-02
5.149554185384820348e-01,2.482308288289620038e-02,2.104277757105850119e-02,-2.057888475777180037e+00,-8.742207775400180625e-02
5.664509603923300052e-01,3.329143611106889777e-02,2.767218649490019861e-02,-2.076370165004770119e+00,-1.011135298106660002e-01
6.179465022461779755e-01,4.322850852259710330e-02,3.521593269302610019e-02,-2.098046803027949991e+00,-1.148884426060469977e-01
6.694420441000259459e-01,5.464532951154660312e-02,4.361483859308119826e-02,-2.123060113529370074e+00,-1.286724381989290122e-01
7.209375859538740272e-01,6.752103152293620347e-02,5.278763000865489829e-02,-2.151531737593269877e+00,-1.424313961174880072e-01
7.724331278077229967e-01,8.180304817717899690e-02,6.263394061419200187e-02,-2.183563029443039927e+00,-1.561476381481499975e-01
8.239286696615709671e-01,9.740787759788760436e-02,7.303748289284700546e-02,-2.219234804052749865e+00,-1.698136974675709954e-01
8.754242115154190484e-01,1.142225680243680042e-01,8.386943407959200625e-02,-2.258606900819270180e+00,-1.834267312968239916e-01
9.269197533692670188e-01,1.321065659677319870e-01,9.499170298263159840e-02,-2.301717709649489851e+00,-1.969863981987050039e-01
9.784152952231149891e-01,1.508939642910299972e-01,1.062600774930669983e-01,-2.348583714501379927e+00,-2.104929975449509882e-01
1.029910837076960073e+00,1.703960132555970008e-01,1.175271496235559959e-01,-2.399199146581739939e+00,-2.239466169986429889e-01
1.081406378930809931e+00,1.904038648528260103e-01,1.286450003876019876e-01,-2.453535799902009984e+00,-2.373464577601689940e-01
1.132901920784660010e+00,2.106914670908680010e-01,1.394676065464980075e-01,-2.511543058389699823e+00,-2.506905578961730052e-01
1.184397462638510090e+00,2.310185630906849974e-01,1.498529616449469914e-01,-2.573148165016319933e+00,-2.639756123108529806e-01
1.235893004492359948e+00,2.511337325703599799e-01,1.596649024892440039e-01,-2.638256751711919978e+00,-2.771970135883279895e-01
1.287388546346200036e+00,2.707774339670420138e-01,1.687746469711539909e-01,-2.706753641935450094e+00,-2.903489029908050134e-01
1.338884088200049893e+00,2.896849976004780003e-01,1.770620500110479945e-01,-2.778503922777510127e+00,-3.034244069780440145e-01
1.390379630053899973e+00,3.075895402860739924e-01,1.844165942947690040e-01,-2.853354288295979924e+00,-3.164157778426979761e-01
1.441875171907750053e+00,3.242247615861730270e-01,1.907381299841489908e-01,-2.931134633739380213e+00,-3.293147717222579818e-01
1.493370713761599911e+00,3.393276111815829998e-01,1.959373874259049964e-01,-3.011659902427819890e+00,-3.421127752308780190e-01
1.544866255615449990e+00,3.526407935510370018e-01,1.999362772579079961e-01,-3.094732147923710208e+00,-3.548013243859770016e-01
1.596361797469290078e+00,3.639151277798750028e-01,2.026680069881419965e-01,-3.180142826462649897e+00,-3.673721115149020111e-01
1.647857339323139936e+00,3.729117263092009971e-01,2.040770203284349993e-01,-3.267675259863330073e+00,-3.798177060954099904e-01
1.699352881176990016e+00,3.794040556633809791e-01,2.041187937426630072e-01,-3.357107315453700114e+00,-3.921312957530049825e-01
1.750848423030840095e+00,3.831798215622809756e-01,2.027594758779530104e-01,-3.448214209149900178e+00,-4.043077648160560145e-01
1.802343964884689953e+00,3.840428218469009725e-01,1.999754155252519983e-01,-3.540771534211140104e+00,-4.163429237606819933e-01
1.853839506738530041e+00,3.818146450398460234e-01,1.957525201980259977e-01,-3.634558374014099869e+00,-4.282352791416350057e-01
1.905335048592379898e+00,3.763365162295819744e-01,1.900855200543609957e-01,-3.729360678371349991e+00,-4.399842895088100225e-01
1.956830590446229978e+00,3.674710036445559824e-01,1.829769880103249979e-01,-3.824974723277990041e+00,-4.515935379075149969e-01
2.008326132300080058e+00,3.551042242853529873e-01,1.744362657381109960e-01,-3.921210879723660003e+00,-4.630670640794660176e-01
