# time,x(N),y(E),z(D),psi
1.097150136082069904e+00,-8.137623324624559951e-01,-7.463335650069039540e-01,-2.168814503974330066e+00,-1.762959984332450047e-01
1.144852315911720098e+00,-8.934349715396000535e-01,-8.134849846801059936e-01,-2.187727446790030061e+00,-1.850131533370170112e-01
1.192554495741380061e+00,-9.747880742836669832e-01,-8.817739271093949505e-01,-2.208189910720049998e+00,-1.937653562033780086e-01
1.240256675571030032e+00,-1.057479526133999981e+00,-9.509694809036729479e-01,-2.230192181801100126e+00,-2.026569446530120111e-01
1.287958855400689995e+00,-1.141139404118320044e+00,-1.020899939834909897e+00,-2.253707796691279963e+00,-2.117162004715049950e-01
1.335661035230349958e+00,-1.225422215720920027e+00,-1.091350320056980072e+00,-2.278701051137289824e+00,-2.207443620596820089e-01
1.383363215059999929e+00,-1.309955852329280024e+00,-1.162168386475409987e+00,-2.305121399604490140e+00,-2.300721802011740091e-01
1.431065394889659892e+00,-1.394392178429489926e+00,-1.233154798199729951e+00,-2.332908818832520215e+00,-2.392064691392299935e-01
1.478767574719310085e+00,-1.478357906843450031e+00,-1.304175932538450100e+00,-2.361990108445689796e+00,-2.487719741895129955e-01
1.526469754548970048e+00,-1.561502912181250036e+00,-1.375047643660989971e+00,-2.392281976881169836e+00,-2.579881055767799802e-01
1.574171934378620019e+00,-1.643453614064499968e+00,-1.445653911815760084e+00,-2.423689385962419784e+00,-2.677666670325770104e-01
1.621874114208279982e+00,-1.723858522789359915e+00,-1.515825260857369905e+00,-2.456106223665099897e+00,-2.770453286724339770e-01
1.669576294037929953e+00,-1.802344605122000010e+00,-1.585462201960829987e+00,-2.489415814591890097e+00,-2.870173462748050186e-01
1.717278473867589916e+00,-1.878559680575959900e+00,-1.654409386656710002e+00,-2.523489112462169892e+00,-2.963431008078680207e-01
1.764980653697240109e+00,-1.952132177429110049e+00,-1.722582828895840024e+00,-2.558187091161450155e+00,-3.064933024396069849e-01
1.812682833526900072e+00,-2.022710089067300210e+00,-1.789840946502889940e+00,-2.593356916698100090e+00,-3.158537955637270023e-01
1.860385013356550044e+00,-2.089924862333810029e+00,-1.856114780260319952e+00,-2.628833360503270100e+00,-3.261732056810000002e-01
1.908087193186210007e+00,-2.153426957416530119e+00,-1.921277593994509925e+00,-2.664435244050999962e+00,-3.355566134237389919e-01
1.955789373015859978e+00,-2.212849257682799831e+00,-1.985272742598499951e+00,-2.699992940532789820e+00,-3.460011588642549762e-01
2.003491552845519941e+00,-2.267851220741829987e+00,-2.047982947543249832e+00,-2.735268716275280010e+00,-3.554526555415319922e-01
2.051193732675169912e+00,-2.318042442392310054e+00,-2.109354136364010035e+00,-2.770199514564910093e+00,-3.657682516836570086e-01
2.098895912504830097e+00,-2.363069749706609990e+00,-2.169234501701390094e+00,-2.804499751910450200e+00,-3.758233980248409933e-01
2.146598092334480068e+00,-2.402433598008649973e+00,-2.227585530247239820e+00,-2.838216166742610014e+00,-3.855814156397819881e-01
2.194300272164139809e+00,-2.435564304474839847e+00,-2.284115276485959800e+00,-2.871436959501379782e+00,-3.975687031646960024e-01
2.242002451993789780e+00,-2.461585620693409915e+00,-2.338670014783600148e+00,-2.903999272495219941e+00,-4.101485135393910242e-01
