# time,x(N),y(E),z(D),psi
0.000000000000000000e+00,4.963091569581839788e-17,2.690669608291630069e-18,-2.000000000000000000e+00,-6.198463929355939424e-17
3.216956444606369758e-02,1.001553658721239962e-16,3.681624953345119632e-18,-2.000000000000000000e+00,-1.243132861863809983e-16
6.433912889212750619e-02,-1.040967457876739951e-05,-1.373830103418540066e-05,-2.006518262840800038e+00,-2.204967973721490054e-04
9.650869333819120377e-02,-1.525276220377640016e-04,-1.986815882254480096e-04,-2.025481318218329996e+00,-9.105877653315689810e-04
1.286782577842550124e-01,-6.758716625000500255e-04,-8.508659224121150255e-04,-2.055652754734779819e+00,-2.081315903090269915e-03
1.608478222303189875e-01,-1.862831574835649906e-03,-2.247848477462319888e-03,-2.095692310597950136e+00,-3.643794581432290014e-03
1.930173866763819912e-01,-3.966796746665030016e-03,-4.562684258145159773e-03,-2.144133668229609935e+00,-5.441620766215900067e-03
2.251869511224459941e-01,-7.175298374844239942e-03,-7.832631979253710727e-03,-2.199358774261849891e+00,-7.303119250394269832e-03
2.573565155685100247e-01,-1.158427395033470066e-02,-1.196016564420640006e-02,-2.259551648161330029e+00,-9.087235653365400775e-03
2.895260800145740276e-01,-1.717461488837209935e-02,-1.673549142449599902e-02,-2.322602186330040119e+00,-1.074303842716210072e-02
3.216956444606369758e-01,-2.384401624228690147e-02,-2.189731201696850163e-02,-2.386495234286579947e+00,-1.235479656688050036e-02
3.538652089067009787e-01,-3.152683367281709781e-02,-2.719364127360440059e-02,-2.450395020907429888e+00,-1.412642985475410021e-02
3.860347733527649816e-01,-4.017877088023250054e-02,-3.237366704735129830e-02,-2.514373008731139780e+00,-1.626484613797880147e-02
4.182043377988279853e-01,-4.969141840328340082e-02,-3.717910204668430085e-02,-2.578505928779149858e+00,-1.892271208215980105e-02
4.503739022448919882e-01,-5.990101767533329707e-02,-4.134863836821779659e-02,-2.642871100682850027e+00,-2.223256416728519938e-02
4.825434666909559911e-01,-7.059796055428560480e-02,-4.461898271274730016e-02,-2.707534779469869868e+00,-2.630071556377739858e-02
5.147130311370200495e-01,-8.153797674264709472e-02,-4.672847579755280006e-02,-2.772534872425589825e+00,-3.121240750713019999e-02
5.468825955830830532e-01,-9.245602468476979419e-02,-4.742899467218329723e-02,-2.837859348239660129e+00,-3.687623709906200087e-02
5.790521600291469451e-01,-1.030818384604269972e-01,-4.650970131107889927e-02,-2.903437771379090204e+00,-4.307446339676739705e-02
